Symbol,Name,Sector,Token,nGram
CCL,Carnival Corp.,Consumer Discretionary,Carnival,Carnival
CAT,Caterpillar Inc.,Industrials,Caterpillar,Caterpillar
CBOE,CBOE Holdings,Financials,CBOE,CBOE
CBG,CBRE Group,Real Estate,CBRE,CBRE
CBS,CBS Corp.,Consumer Discretionary,CBS,CBS
CELG,Celgene Corp.,Health Care,Celgene,Celgene
CNC,Centene Corporation,Health Care,Centene,Centene
CNP,CenterPoint Energy,Utilities,CenterPoint,CenterPoint
CTL,CenturyLink Inc,Telecommunication Services,CenturyLink,CenturyLink
CERN,Cerner,Health Care,Cerner,Cerner
CF,CF Industries Holdings Inc,Materials,CF Industries,CF_Industries
SCHW,Charles Schwab Corporation,Financials,Charles Schwab,Charles_Schwab
CHTR,Charter Communications,Consumer Discretionary,Charter Communications,Charter_Communications
CHK,Chesapeake Energy,Energy,Chesapeake Energy,Chesapeake_Energy
CVX,Chevron Corp.,Energy,Chevron,Chevron
CMG,Chipotle Mexican Grill,Consumer Discretionary,Chipotle,Chipotle
CB,Chubb Limited,Financials,Chubb,Chubb
CHD,Church & Dwight,Consumer Staples,Church & Dwight,Church_&_Dwight
CI,CIGNA Corp.,Health Care,CIGNA,CIGNA
XEC,Cimarex Energy,Energy,Cimarex,Cimarex
CINF,Cincinnati Financial,Financials,Cincinnati Financial,Cincinnati_Financial
CTAS,Cintas Corporation,Industrials,Cintas,Cintas
CSCO,Cisco Systems,Information Technology,Cisco,Cisco
C,Citigroup Inc.,Financials,Citigroup,Citigroup
CFG,Citizens Financial Group,Financials,Citizens Financial,Citizens_Financial
CTXS,Citrix Systems,Information Technology,Citrix,Citrix
CME,CME Group Inc.,Financials,CME Group,CME_Group
CMS,CMS Energy,Utilities,CMS Energy,CMS_Energy
KO,Coca-Cola Company (The),Consumer Staples,Coca Cola,Coca_Cola
CTSH,Cognizant Technology Solutions,Information Technology,Cognizant,Cognizant
CL,Colgate-Palmolive,Consumer Staples,Colgate Palmolive,Colgate_Palmolive
CMCSA,Comcast Corp.,Consumer Discretionary,Comcast,Comcast
CMA,Comerica Inc.,Financials,Comerica,Comerica
CAG,Conagra Brands,Consumer Staples,Conagra,Conagra
CXO,Concho Resources,Energy,Concho,Concho
COP,ConocoPhillips,Energy,ConocoPhillips,ConocoPhillips
ED,Consolidated Edison,Utilities,Con Edison,Con_Edison
STZ,Constellation Brands,Consumer Staples,Constellation Brands,Constellation_Brands
GLW,Corning Inc.,Information Technology,Corning,Corning
COST,Costco Wholesale Corp.,Consumer Staples,Costco,Costco
COTY,Coty Inc,Consumer Staples,Coty,Coty
CCI,Crown Castle International Corp.,Real Estate,Crown Castle,Crown_Castle
CSRA,CSRA Inc.,Information Technology,CSRA,CSRA
CSX,CSX Corp.,Industrials,CSX,CSX
CMI,Cummins Inc.,Industrials,Cummins,Cummins
CVS,CVS Health,Consumer Staples,CVS,CVS
DHI,D. R. Horton,Consumer Discretionary,D R Horton,D_R_Horton
DHR,Danaher Corp.,Health Care,Danaher,Danaher
DRI,Darden Restaurants,Consumer Discretionary,Darden,Darden
DVA,DaVita Inc.,Health Care,DaVita,DaVita
DE,Deere & Co.,Industrials,Deere,Deere
DAL,Delta Air Lines Inc.,Industrials,Delta Air,Delta_Air
XRAY,Dentsply Sirona,Health Care,Dentsply Sirona,Dentsply_Sirona
DVN,Devon Energy Corp.,Energy,Devon,Devon
DLR,Digital Realty Trust Inc,Real Estate,Digital Realty,Digital_Realty
DFS,Discover Financial Services,Financials,Discover,Discover
DISCA,Discovery Communications-A,Consumer Discretionary,Discovery,Discovery
DISH,Dish Network,Consumer Discretionary,Dish Network,Dish_Network
DG,Dollar General,Consumer Discretionary,Dollar General,Dollar_General
DLTR,Dollar Tree,Consumer Discretionary,Dollar Tree,Dollar_Tree
D,Dominion Energy,Utilities,Dominion Energy,Dominion_Energy
DOV,Dover Corp.,Industrials,Dover,Dover
DWDP,DowDuPont,Materials,DowDuPont,DowDuPont
DPS,Dr Pepper Snapple Group,Consumer Staples,Pepper Snapple,Pepper_Snapple
DTE,DTE Energy Co.,Utilities,DTE Energy,DTE_Energy
DUK,Duke Energy,Utilities,Duke Energy,Duke_Energy
DRE,Duke Realty Corp,Real Estate,Duke Realty,Duke_Realty
DXC,DXC Technology,Information Technology,DXC,DXC
ETFC,E*Trade,Financials,E Trade,E_Trade
EMN,Eastman Chemical,Materials,Eastman,Eastman
ETN,Eaton Corporation,Industrials,Eaton,Eaton
EBAY,eBay Inc.,Information Technology,eBay,eBay
ECL,Ecolab Inc.,Materials,Ecolab,Ecolab
EIX,Edison Int'l,Utilities,Edison International,Edison_International
EW,Edwards Lifesciences,Health Care,Edwards Lifesciences,Edwards_Lifesciences
EA,Electronic Arts,Information Technology,Electronic Arts,Electronic_Arts
EMR,Emerson Electric Company,Industrials,Emerson,Emerson
ETR,Entergy Corp.,Utilities,Entergy,Entergy
EVHC,Envision Healthcare,Health Care,Envision,Envision
EOG,EOG Resources,Energy,EOG,EOG
EQT,EQT Corporation,Energy,EQT,EQT
EFX,Equifax Inc.,Industrials,Equifax,Equifax
EQIX,Equinix,Real Estate,Equinix,Equinix
EQR,Equity Residential,Real Estate,Equity Residential,Equity_Residential
ESS,Essex Property Trust Inc.,Real Estate,Essex Property,Essex_Property
EL,Estee Lauder Cos.,Consumer Staples,Estee Lauder,Estee_Lauder
RE,Everest Re Group Ltd.,Financials,Everest Re,Everest_Re
ES,Eversource Energy,Utilities,Eversource,Eversource
EXC,Exelon Corp.,Utilities,Exelon,Exelon
